Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Curacao,CUW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Czech Republic,CZE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.353038781,2.135323314,4.124154781,10.14586015,17.20528651,18.36664905,19.06618968,20.21004962,20.12007032,20.74267233,21.52794353,22.22507664,20.1898473,20.13380756,19.45590731,20.3918049,20.81859131,18.63916281,19.86825444,24.65688532,31.24034003,31.41783029,30.18149418,31.13539102,29.82088328,31.8758629,33.33006664,32.81836084,32.5931133,34.98102368,35.74667473,35.63622262,32.48886414,,,,,
Germany,DEU,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0.018997111,0.072848599,0.037519932,0.063586784,0.06824346,0.149986133,0.667764162,0.873647602,2.198394286,2.103176788,1.899471045,2.752969952,3.233854768,3.702091596,6.289704771,7.007923156,9.6830676,9.793648739,11.13494577,11.92027276,14.01065128,15.89928841,16.37193012,20.72936393,26.63304902,25.00685111,26.71702481,28.66339249,29.00464122,27.84040902,27.47701679,29.7568544,29.3358495,28.69412896,28.73254081,29.05731163,31.08112793,29.26345327,30.76744881,29.63518215,29.43961532,28.32560649,27.34578854,27.33818247,26.47856447,26.43599502,22.1780347,23.40789432,22.87114851,22.43214387,17.7809653,15.94630907,15.3710038,15.61715155,14.31992599,,,,,
Djibouti,DJI,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Dominican Republic,DOM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Algeria,DZA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
East Asia & Pacific (excluding high income),EAP,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152639402,1.265489319,1.006585524,1.042393634,0.992966599,0.947189845,0.947497803,0.973270773,0.935396714,1.216612741,1.843527674,1.887212259,1.771862889,1.618146877,1.619199766,1.691056957,1.620157248,1.518822972,1.59934453,1.699302482,1.794614993,2.041514197,,,,,,
Early-demographic dividend,EAR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,,,,,,,,,,,,0.440467895,0.387084536,0.777384421,0.990085933,1.408248914,1.444795884,0.912833707,1.146040102,1.008837642,0.878760642,0.896710479,0.568156002,0.944296061,1.550388349,1.829578047,2.05910737,1.718409834,1.976778239,1.755085655,1.971220319,2.006927555,1.952386884,1.725800833,1.784897773,2.101299819,2.063968771,2.212561884,2.157808541,2.102703976,2.1073229,2.127078866,2.058697711,1.998113655,1.899430622,1.750121655,1.685639172,1.5841465,1.457585101,1.603586104,1.569266644,1.829910413,1.713889688,1.898096167,1.784026033,0.264383022,,,,,
